Name,Rank score,Rank Stdev (% out 2929)
HEART RATE IRREGULAR,0.44,7.64
OEDEMA MUCOSAL,0.44,27.53
CONJUNCTIVAL DISORDER,0.44,1.52
CATHETER RELATED INFECTION,0.44,23.77
HYPERPROLACTINAEMIA,0.44,14.94
RED BLOOD CELL COUNT INCREASED,0.43,5.04
PHLEBITIS SUPERFICIAL,0.43,21.17
HYPERADRENOCORTICISM,0.43,26.14
VAGINAL INFLAMMATION,0.43,21.39
HYPERVITAMINOSIS,0.43,30.69
PLATELET COUNT ABNORMAL,0.43,27.87
LIP HAEMORRHAGE,0.43,21.90
PHYSICAL ABUSE,0.43,28.77
VULVITIS,0.43,11.47
PROCTITIS,0.43,39.10
VIRAL PHARYNGITIS,0.43,17.92
"HALLUCINATION, TACTILE",0.43,6.36
LARYNGITIS,0.43,15.62
RED BLOOD CELL COUNT DECREASED,0.43,14.39
HYPOCALCAEMIA,0.43,31.91
GAMMA-GLUTAMYLTRANSFERASE INCREASED,0.43,18.29
FASCIITIS,0.43,25.17
SCROTAL PAIN,0.43,12.52
TRACHEOBRONCHITIS,0.43,29.22
COOMBS DIRECT TEST POSITIVE,0.43,2.30
LYMPHOCYTE COUNT INCREASED,0.43,9.90
GASTRITIS VIRAL,0.43,24.09
GINGIVAL HYPERTROPHY,0.43,20.28
CATARACT CORTICAL,0.43,7.17
DIASTOLIC HYPERTENSION,0.43,44.34
PSYCHIATRIC SYMPTOM,0.43,20.52
TELANGIECTASIA,0.43,22.03
ANISOCYTOSIS,0.43,32.68
LIGAMENT DISORDER,0.43,13.62
VAGINISMUS,0.43,18.57
VULVOVAGINITIS,0.43,13.39
HYPERAEMIA,0.43,17.60
CAPILLARY FRAGILITY,0.43,21.28
ACUTE GENERALISED EXANTHEMATOUS PUSTULOSIS,0.43,6.56
VAGINITIS,0.43,9.29
GINGIVAL BLEEDING,0.43,15.09
ANOREXIA,0.43,11.35
HAEMOCHROMATOSIS,0.43,13.75
VOMITING NEONATAL,0.43,17.14
INTENTIONAL SELF-INJURY,0.43,19.60
FAECALITH,0.43,6.23
FEBRILE NEUTROPENIA,0.43,15.14
ERYSIPELAS,0.43,27.01
EXTRAVASATION,0.43,39.52
ELECTROCARDIOGRAM T WAVE AMPLITUDE DECREASED,0.43,9.29
MEMORY IMPAIRMENT,0.43,7.48
SERUM SICKNESS,0.43,9.28
OLIGOHYDRAMNIOS,0.43,11.93
DEFICIENCY ANAEMIA,0.43,18.11
PHARYNGEAL ERYTHEMA,0.43,8.53
VAGINITIS BACTERIAL,0.43,5.58
NODAL RHYTHM,0.43,10.60
HIGH RISK PREGNANCY,0.43,26.83
REFRACTION DISORDER,0.43,9.83
HIGH DENSITY LIPOPROTEIN DECREASED,0.42,13.02
TRACHEITIS,0.42,23.94
ARTHROPATHY,0.42,34.87
INJECTION SITE HAEMATOMA,0.42,29.61
PHARYNGOLARYNGEAL PAIN,0.42,17.81
CALCULUS URETERIC,0.42,24.11
PERIODONTAL DISEASE,0.42,4.40
INJECTION SITE ATROPHY,0.42,15.74
POOR PERIPHERAL CIRCULATION,0.42,20.46
XEROPHTHALMIA,0.42,17.46
HYDROCELE,0.42,13.47
EUSTACHIAN TUBE DYSFUNCTION,0.42,9.07
OEDEMA MOUTH,0.42,12.72
CONGENITAL ORAL MALFORMATION,0.42,32.95
HEAD TITUBATION,0.42,34.04
FACE OEDEMA,0.42,6.16
ORAL HERPES,0.42,17.69
GASTROOESOPHAGITIS,0.42,9.15
DIABETIC FOOT,0.42,16.16
PSEUDOFOLLICULITIS BARBAE,0.42,27.67
VENOUS PRESSURE INCREASED,0.42,25.13
MYOCLONUS,0.42,6.99
HYPERREFLEXIA,0.42,12.55
SOFT TISSUE DISORDER,0.42,2.15
RESPIRATION ABNORMAL,0.42,24.23
HYPONATRAEMIA,0.42,24.31
ECCHYMOSIS,0.42,7.34
HYPHAEMA,0.42,17.23
INFECTION,0.42,4.64
BREAST ABSCESS,0.42,1.78
CERVICITIS,0.42,6.59
PENILE PAIN,0.42,11.29
AMMONIA INCREASED,0.42,28.35
UTERINE POLYP,0.42,12.18
MYRINGITIS,0.42,29.42
DYSCHEZIA,0.42,20.60
WITHDRAWAL SYNDROME,0.42,1.19
EPISCLERITIS,0.42,15.95
OCULAR HYPERTENSION,0.42,13.32
SYSTOLIC HYPERTENSION,0.42,5.88
BENIGN INTRACRANIAL HYPERTENSION,0.42,18.93
CATARACT,0.42,13.35
HAMARTOMA,0.42,3.41
HYPOGLYCAEMIA,0.42,7.58
EXTRASYSTOLES,0.41,8.67
URTICARIA CHRONIC,0.41,5.11
BEZOAR,0.41,5.75
NAIL-PATELLA SYNDROME,0.41,12.57
SKIN OEDEMA,0.41,10.55
PLATELET AGGREGATION ABNORMAL,0.41,21.04
PARASOMNIA,0.41,15.67
ALANINE AMINOTRANSFERASE DECREASED,0.41,6.27
ANAL FISSURE,0.41,15.31
ENTERITIS,0.41,7.92
BACTERIAL INFECTION,0.41,19.31
SCROTAL DISORDER,0.41,15.61
SPUTUM PURULENT,0.41,8.46
ORAL FUNGAL INFECTION,0.41,16.11
HYPOSTHENURIA,0.41,26.11
RECTAL DISCHARGE,0.41,5.21
CONFUSIONAL STATE,0.41,13.66
MOUTH ULCERATION,0.41,33.54
PERSONALITY DISORDER,0.41,30.82
INTERTRIGO CANDIDA,0.41,7.90
GLOSSODYNIA,0.41,17.48
LENTICULAR OPACITIES,0.41,6.96
FORCED EXPIRATORY VOLUME DECREASED,0.41,17.52
PROTHROMBIN LEVEL DECREASED,0.41,8.70
SOFT TISSUE INFECTION,0.41,14.90
VEIN PAIN,0.41,1.60
UTERINE INFLAMMATION,0.41,18.60
DYSTHYMIC DISORDER,0.41,19.23
BLOOD GLUCOSE INCREASED,0.41,18.14
SKIN HAEMORRHAGE,0.41,12.85
URINARY RETENTION,0.41,14.19
ORAL NEOPLASM BENIGN,0.41,31.37
VEIN DISORDER,0.41,11.97
DUBIN-JOHNSON SYNDROME,0.41,26.34
TALIPES,0.41,22.94
DYSAESTHESIA,0.41,6.11
COLLAGEN DISORDER,0.41,15.07
EOSINOPHILIA,0.41,25.65
HEPATIC PAIN,0.41,0.71
URINARY TRACT INFECTION,0.41,6.60
DYSGRAPHIA,0.41,23.78
CORNEAL DISORDER,0.41,18.77
CREATININE RENAL CLEARANCE DECREASED,0.41,13.32
DEREALISATION,0.41,22.15
NEPHROLITHIASIS,0.41,12.10
BACK DISORDER,0.41,29.14
HYPERKERATOSIS,0.40,8.92
ELECTROCARDIOGRAM ST SEGMENT DEPRESSION,0.40,15.45
XANTHOMATOSIS,0.40,10.18
EPIDIDYMITIS,0.40,17.68
AMBLYOPIA,0.40,8.45
FOOT AND MOUTH DISEASE,0.40,2.10
AGEUSIA,0.40,1.95
INDURATION,0.40,8.31
GLOMERULAR FILTRATION RATE DECREASED,0.40,16.76
BLOOD PRESSURE DIASTOLIC DECREASED,0.40,10.88
INFECTION SUSCEPTIBILITY INCREASED,0.40,21.98
MYALGIA,0.40,17.09
GLUCOSE TOLERANCE IMPAIRED,0.40,27.58
VOCAL CORD PARESIS,0.40,6.77
GOITRE,0.40,17.12
MANIA,0.40,7.35
HYPOAESTHESIA,0.40,15.05
RESPIRATORY ALKALOSIS,0.40,13.71
XANTHOMA,0.40,6.35
CULTURE NEGATIVE,0.40,17.84
HYPERCHLORHYDRIA,0.40,14.75
BLEPHARITIS,0.40,3.44
ANTISOCIAL BEHAVIOUR,0.40,8.78
PURPURA NON-THROMBOCYTOPENIC,0.40,14.05
NYSTAGMUS,0.40,14.49
PYODERMA,0.40,27.54
TENDON DISORDER,0.40,9.45
GINGIVAL PAIN,0.40,23.21
URINARY INCONTINENCE,0.40,14.50
HYPOKALAEMIA,0.40,8.20
NASAL ULCER,0.40,18.54
DYSMORPHISM,0.40,38.11
ADENOVIRUS INFECTION,0.40,26.27
SLEEP ATTACKS,0.40,6.77
MUSCLE CONTRACTIONS INVOLUNTARY,0.40,5.55
GENITAL DISCHARGE,0.40,1.28
PERIOSTITIS,0.40,0.93
HYPOSPADIAS,0.40,2.46
PLANTAR FASCIITIS,0.40,9.77
BLADDER DISORDER,0.40,4.66
HYPOAESTHESIA ORAL,0.40,14.95
AMINOACIDURIA,0.40,16.13
SCLERAL HYPERAEMIA,0.40,14.61
BENIGN VAGINAL NEOPLASM,0.40,17.17
PARANOIA,0.40,14.37
ASTHENIA,0.40,14.17
POIKILOCYTOSIS,0.40,12.62
PSORIASIS,0.40,32.22
COORDINATION ABNORMAL,0.40,30.16
ARTHRITIS,0.40,4.91
INJECTION SITE ABSCESS,0.40,11.51
NUCHAL RIGIDITY,0.40,3.54
GASTROINTESTINAL PAIN,0.40,11.79
NEUROPATHY PERIPHERAL,0.40,13.88
SPLINTER HAEMORRHAGES,0.40,12.59
DYSURIA,0.40,23.76
PHOTOSENSITIVITY ALLERGIC REACTION,0.40,5.79
DIFFICULTY IN WALKING,0.40,0.99
DEPRESSED LEVEL OF CONSCIOUSNESS,0.40,6.04
AUTOMATISM,0.40,16.34
ANAEMIA,0.39,11.30
ANDROGENETIC ALOPECIA,0.39,22.26
OROPHARYNGEAL SPASM,0.39,18.41
LOCALISED INFECTION,0.39,13.84
ZINC DEFICIENCY,0.39,16.09
BLOOD PRESSURE ABNORMAL,0.39,5.75
ROTATOR CUFF SYNDROME,0.39,15.08
FEVER NEONATAL,0.39,15.14
VARICELLA,0.39,0.36
CUTANEOUS VASCULITIS,0.39,7.87
ATOPY,0.39,21.31
AORTIC BRUIT,0.39,16.02
WOUND DEHISCENCE,0.39,2.36
BLADDER DISTENSION,0.39,7.04
DISSOCIATION,0.39,16.76
HYPERSOMNIA,0.39,34.23
FAT NECROSIS,0.39,2.24
INCONTINENCE,0.39,4.36
GRANULOMA,0.39,10.64
IMPETIGO,0.39,19.31
RESPIRATORY RATE DECREASED,0.39,12.40
ARTHRALGIA,0.39,3.58
HYPERTRICHOSIS,0.39,3.92
DYSSOMNIA,0.39,25.47
ONYCHOMYCOSIS,0.39,14.32
VISUAL EVOKED POTENTIALS ABNORMAL,0.39,17.61
ECTROPION,0.39,15.01
REPETITIVE STRAIN INJURY,0.39,4.53
BLOOD UREA INCREASED,0.39,4.79
VIRAL DIARRHOEA,0.39,12.60
MIDDLE INSOMNIA,0.39,1.91
FAECAL OCCULT BLOOD POSITIVE,0.39,5.49
JAUNDICE NEONATAL,0.39,31.76
HAEMOGLOBIN DECREASED,0.39,6.10
HYPERPYREXIA,0.39,17.05
NICOTINIC ACID DEFICIENCY,0.39,20.01
HORMONE LEVEL ABNORMAL,0.39,25.50
HYPERKINESIA,0.39,5.57
LIPOATROPHY,0.39,25.41
PRURITUS GENERALISED,0.39,25.56
TINEA CRURIS,0.39,4.56
DEFAECATION URGENCY,0.39,7.85
BLOOD PRESSURE SYSTOLIC DECREASED,0.39,12.72
ORTHOSTATIC INTOLERANCE,0.39,12.26
RETCHING,0.39,5.26
BLOOD GLUCOSE ABNORMAL,0.39,10.52
NIPPLE DISORDER,0.39,11.40
INFERTILITY MALE,0.39,5.88
ABSCESS,0.39,15.15
PROTEINURIA,0.39,12.03
HAEMORRHOIDS,0.39,2.70
CONGENITAL TONGUE ANOMALY,0.39,32.08
MACULOPATHY,0.39,19.30
FAECAL INCONTINENCE,0.39,4.30
RHONCHI,0.39,19.19
EMOTIONAL DISORDER,0.39,3.86
MIGRAINE WITHOUT AURA,0.39,24.08
SINUS ARRHYTHMIA,0.39,29.66
BLOOD BICARBONATE DECREASED,0.39,27.04
ELECTROCARDIOGRAM ABNORMAL,0.38,6.89
STOMATITIS,0.38,11.02
CANDIDURIA,0.38,20.91
ESCHAR,0.38,2.19
RASH SCARLATINIFORM,0.38,7.78
RHINITIS PERENNIAL,0.38,12.39
RELAPSING FEVER,0.38,6.82
SIALOADENITIS,0.38,13.64
BACTERIURIA,0.38,10.84
OROPHARYNGEAL CANDIDIASIS,0.38,30.12
CORNEAL OPACITY,0.38,13.98
BLIGHTED OVUM,0.38,17.32
DRY SOCKET,0.38,13.31
TESTICULAR SWELLING,0.38,5.83
RETINAL DEPOSITS,0.38,22.14
DERMATOPHYTOSIS,0.38,8.87
GASTRIC DISORDER,0.38,45.80
JOINT CONTRACTURE,0.38,1.23
HYPERCALCIURIA,0.38,25.65
EYE DISORDER,0.38,22.31
AMYLASE INCREASED,0.38,18.07
APHONIA,0.38,24.07
ORAL MUCOSAL BLISTERING,0.38,16.78
INJECTION SITE PHLEBITIS,0.38,15.11
MENOPAUSE,0.38,13.11
GENITAL LESION,0.38,23.82
POLYP,0.38,6.78
GALACTORRHOEA,0.38,18.12
DYSPHONIA,0.38,36.93
MONOCYTE COUNT INCREASED,0.38,4.90
PRURITUS,0.38,6.19
PREGNANCY,0.38,8.27
GINGIVAL INFECTION,0.38,15.07
FOLATE DEFICIENCY,0.38,6.04
CILIARY MUSCLE SPASM,0.38,11.88
MUCOUS MEMBRANE DISORDER,0.38,15.47
LUMBAR PUNCTURE HEADACHE,0.38,16.29
HYPOMENORRHOEA,0.38,19.43
SKIN LESION,0.38,5.37
FAILURE TO THRIVE,0.38,19.15
GANGLION,0.38,25.08
RALES,0.37,8.83
LICHENOID KERATOSIS,0.37,44.61
FORMICATION,0.37,23.36
BLEPHARITIS ALLERGIC,0.37,15.93
WHITE BLOOD CELLS URINE POSITIVE,0.37,1.96
RETICULOCYTOSIS,0.37,14.19
POST-TRAUMATIC PAIN,0.37,17.25
JOINT EFFUSION,0.37,15.24
CLEFT LIP,0.37,22.76
NASAL OEDEMA,0.37,4.15
BLOOD BILIRUBIN INCREASED,0.37,9.93
PRESYNCOPE,0.37,18.07
SKIN ATROPHY,0.37,7.46
GINGIVAL DISORDER,0.37,5.92
TESTICULAR PAIN,0.37,4.08
HYPOTENSION,0.37,3.22
GOUT,0.37,9.73
HYPERSENSITIVITY,0.37,21.60
MUSCLE SPASTICITY,0.37,23.10
CARBUNCLE,0.37,14.56
BODY TEMPERATURE DECREASED,0.37,13.69
INJECTION SITE URTICARIA,0.37,3.66
VASCULAR ANOMALY,0.37,21.46
HYPERVITAMINOSIS D,0.37,32.38
BLADDER DYSFUNCTION,0.37,16.35
ELECTROCARDIOGRAM ST SEGMENT,0.37,10.74
ACUTE STRESS DISORDER,0.37,10.95
AMENORRHOEA,0.37,4.87
DACRYOCYSTITIS,0.37,14.92
INFUSION RELATED REACTION,0.37,24.23
DERMATITIS ACNEIFORM,0.37,4.10
BLOOD PRESSURE DIASTOLIC INCREASED,0.37,18.09
PICA,0.37,17.37
ANTINUCLEAR ANTIBODY POSITIVE,0.37,12.87
APPLICATION SITE OEDEMA,0.37,3.72
KETONURIA,0.37,11.06
ELECTROLYTE DEPLETION,0.37,7.71
DYSMENORRHOEA,0.37,18.48
IMPULSE-CONTROL DISORDER,0.37,11.52
INAPPROPRIATE ANTIDIURETIC HORMONE SECRETION,0.37,4.56
RASH PUSTULAR,0.37,11.78
ABSCESS NECK,0.37,11.21
INJECTION SITE ABSCESS STERILE,0.37,8.41
RASH MACULO-PAPULAR,0.37,7.64
INNER EAR DISORDER,0.37,10.24
ORTHOSTATIC HYPOTENSION,0.37,15.21
BLADDER SPASM,0.37,7.54
ELECTROCARDIOGRAM QRS COMPLEX,0.37,25.14
HAEMATOCRIT DECREASED,0.37,36.17
BENIGN NEOPLASM,0.37,14.48
SEBORRHOEIC DERMATITIS,0.37,6.21
HYPOTONIA,0.37,3.35
DYSPHEMIA,0.36,22.47
ENCOPRESIS,0.36,10.42
SKIN FISSURES,0.36,7.83
CRYSTALLURIA,0.36,1.62
GLUCOSE TOLERANCE DECREASED,0.36,23.11
ACCOMMODATION DISORDER,0.36,13.17
REFLUX OESOPHAGITIS,0.36,11.18
APHTHOUS STOMATITIS,0.36,8.34
ANHIDROSIS,0.36,17.47
HYPOTONY OF EYE,0.36,13.78
CIRCUMORAL OEDEMA,0.36,12.24
GENITAL PAIN,0.36,8.93
GENITAL BURNING SENSATION,0.36,16.68
TINEA INFECTION,0.36,16.59
PULPITIS DENTAL,0.36,2.39
PANIC REACTION,0.36,10.07
DENTAL CARIES,0.36,7.10
OTITIS MEDIA,0.36,7.10
TREMOR,0.36,16.08
THROAT TIGHTNESS,0.36,22.47
SKIN HYPERTROPHY,0.36,6.30
PHOTOSENSITIVITY REACTION,0.36,18.74
HYPOVENTILATION,0.36,20.39
THYROID FUNCTION TEST ABNORMAL,0.36,8.14
COCCYDYNIA,0.36,38.05
INTERNATIONAL NORMALISED RATIO INCREASED,0.36,7.66
HYPNAGOGIC HALLUCINATION,0.36,5.07
PYOGENIC GRANULOMA,0.36,14.04
MALABSORPTION,0.36,17.56
HEREDITARY FRUCTOSE INTOLERANCE,0.36,19.38
RHINORRHOEA,0.36,10.36
PSEUDOPORPHYRIA,0.36,24.97
VIRAL INFECTION,0.36,9.75
RED BLOOD CELL SEDIMENTATION RATE INCREASED,0.36,21.95
ACANTHOSIS NIGRICANS,0.36,10.19
HALLUCINATION,0.36,14.39
ELECTROCARDIOGRAM QT CORRECTED INTERVAL PROLONGED,0.36,11.55
BENIGN GASTROINTESTINAL NEOPLASM,0.36,13.44
PHONOPHOBIA,0.36,23.43
MUSCLE CONTRACTURE,0.36,21.15
GLYCOSURIA,0.36,25.74
SALIVARY GLAND ENLARGEMENT,0.36,14.74
EAR DISORDER,0.36,14.97
OESOPHAGITIS,0.36,7.70
SYNOVITIS,0.36,19.26
PALMAR ERYTHEMA,0.36,22.55
BREAST MICROCALCIFICATION,0.36,18.59
MENSTRUAL DISORDER,0.36,9.75
PREMATURE MENOPAUSE,0.36,33.31
CLUSTER HEADACHE,0.36,13.65
INTERTRIGO,0.36,11.24
EOSINOPHIL COUNT INCREASED,0.36,17.09
IRRITABLE BOWEL SYNDROME,0.36,10.93
ENANTHEMA,0.35,11.32
OBSESSIVE-COMPULSIVE DISORDER,0.35,19.09
CYANOPSIA,0.35,10.77
DELUSION,0.35,16.51
RASH MORBILLIFORM,0.35,11.14
TONGUE ULCERATION,0.35,21.21
VAGINAL DISORDER,0.35,6.58
SKIN INDURATION,0.35,3.06
CONJUNCTIVITIS BACTERIAL,0.35,2.53
STUPOR,0.35,20.27
DERMATITIS ATOPIC,0.35,15.31
CHEILOSIS,0.35,38.75
ECHOLALIA,0.35,13.64
OTITIS EXTERNA,0.35,22.22
ORAL PRURITUS,0.35,9.70
NASAL SEPTUM ULCERATION,0.35,27.34
OSCILLOPSIA,0.35,12.50
NIGHT BLINDNESS,0.35,14.51
NASAL SEPTUM DISORDER,0.35,8.03
FAT ATROPHY,0.35,9.88
TONSILLAR HYPERTROPHY,0.35,9.04
BLOOD URIC ACID INCREASED,0.35,4.68
HYPOMANIA,0.35,12.35
PLATELET COUNT DECREASED,0.35,23.04
TENDONITIS,0.35,10.96
WOUND INFECTION,0.35,10.31
URGE INCONTINENCE,0.35,1.34
FRUCTOSE INTOLERANCE,0.35,7.01
ALTERED STATE OF CONSCIOUSNESS,0.35,9.84
VAGINAL SWELLING,0.35,12.01
ACANTHOSIS,0.35,25.53
NEURODERMATITIS,0.35,4.22
BLOOD SODIUM INCREASED,0.35,6.32
ENURESIS,0.35,2.40
ASTEATOSIS,0.35,10.48
FREQUENT BOWEL MOVEMENTS,0.35,16.41
TYPE I HYPERSENSITIVITY,0.35,17.69
CYSTITIS,0.35,27.28
LEUKOPLAKIA ORAL,0.35,12.52
SCROTAL SWELLING,0.35,17.07
ERYTHEMA,0.35,19.69
MUCOSAL ULCERATION,0.35,27.04
EPICONDYLITIS,0.35,8.72
DEPERSONALISATION,0.35,11.67
RETROGRADE EJACULATION,0.35,22.65
BENIGN BREAST NEOPLASM,0.35,3.91
PRURITUS ANI,0.35,8.90
DIZZINESS EXERTIONAL,0.35,12.39
DYSPHORIA,0.35,3.02
POLYURIA,0.34,16.25
HYPERVITAMINOSIS A,0.34,7.35
ECZEMA INFECTED,0.34,19.14
LABYRINTHITIS,0.34,27.88
LATEX ALLERGY,0.34,8.96
OTORRHOEA,0.34,8.77
ANXIETY DISORDER,0.34,7.61
INCOHERENT,0.34,10.10
EXPRESSIVE LANGUAGE DISORDER,0.34,11.83
TUNNEL VISION,0.34,2.61
HYPERACUSIS,0.34,11.92
EATING DISORDER,0.34,12.44
VAGINAL PAIN,0.34,4.62
HYPOCHONDRIASIS,0.34,14.27
HORDEOLUM,0.34,20.54
ORAL INFECTION,0.34,4.46
ULCER,0.34,19.66
PERIORBITAL OEDEMA,0.34,25.60
MIOSIS,0.34,31.89
HYPOHIDROSIS,0.34,6.66
MICTURITION URGENCY,0.34,17.75
BLEEDING TIME PROLONGED,0.34,5.60
MOBILITY DECREASED,0.34,11.70
SCIATICA,0.34,4.61
URINARY TRACT DISORDER,0.34,21.30
PAROTITIS,0.34,13.42
CHLOASMA,0.34,4.92
ABNORMAL SENSATION IN EYE,0.34,20.03
ACUTE SINUSITIS,0.34,11.24
PHIMOSIS,0.34,32.27
DYSPAREUNIA,0.34,10.31
FAECES HARD,0.34,15.33
JOINT CREPITATION,0.34,14.21
GENITAL PRURITUS FEMALE,0.34,18.16
SKIN PAPILLOMA,0.34,14.45
MUTISM,0.34,6.44
SKIN BURNING SENSATION,0.34,8.22
HAPTOGLOBIN INCREASED,0.34,12.85
VISUAL DISTURBANCE,0.34,8.13
SPERMATOZOA ABNORMAL,0.34,15.90
PARAESTHESIA,0.34,22.23
CHEST PAIN,0.34,5.79
SKIN BACTERIAL INFECTION,0.34,22.24
VITILIGO,0.34,27.72
CIRCADIAN RHYTHM SLEEP DISORDER,0.34,14.15
STRABISMUS,0.34,22.45
ELECTROCARDIOGRAM T WAVE INVERSION,0.34,6.39
CENTRAL OBESITY,0.34,2.87
BLOOD CULTURE POSITIVE,0.34,22.54
CELLULITIS,0.34,11.51
COMPULSIONS,0.34,4.63
ANOSMIA,0.34,5.39
PAROSMIA,0.34,8.45
CONJUNCTIVITIS ALLERGIC,0.34,27.98
ERYTHEMA MULTIFORME,0.33,34.64
GLOSSITIS,0.33,19.33
RECTAL CRAMPS,0.33,4.12
DIZZINESS POSTURAL,0.33,9.26
OESTROGENIC EFFECT,0.33,4.41
PHOTOPSIA,0.33,8.09
BODY TEMPERATURE INCREASED,0.33,8.23
DERMATITIS EXFOLIATIVE,0.33,11.50
HALO VISION,0.33,6.29
ERYTHEMA OF EYELID,0.33,14.93
APPETITE DISORDER,0.33,2.21
VAGINAL INFECTION,0.33,6.30
SPECIFIC GRAVITY URINE INCREASED,0.33,4.48
GRANULOMA SKIN,0.33,10.23
COSTOVERTEBRAL ANGLE TENDERNESS,0.33,36.51
AGGRESSION,0.33,7.51
FLUID IMBALANCE,0.33,12.95
METRORRHAGIA,0.33,24.95
FIXED ERUPTION,0.33,23.63
PROTHROMBIN TIME SHORTENED,0.33,1.90
VIRILISM,0.33,24.08
BONE PAIN,0.33,18.80
RESTLESS LEGS SYNDROME,0.33,23.66
URETHRITIS,0.33,9.15
PARAPSORIASIS,0.33,6.34
IMPERFORATE HYMEN,0.33,13.05
HYPOSMIA,0.33,20.94
NECK MASS,0.33,5.86
RETINAL EXUDATES,0.33,16.32
ATROPHIC GLOSSITIS,0.33,9.50
SERUM SICKNESS-LIKE REACTION,0.33,22.40
PRECOCIOUS PUBERTY,0.32,6.69
ILLUSION,0.32,1.33
RETICULOCYTE COUNT INCREASED,0.32,19.30
SKIN ULCER,0.32,8.72
MELANOSIS,0.32,9.48
GLOBULINS INCREASED,0.32,8.84
DERMOGRAPHISM,0.32,11.47
POLLAKIURIA,0.32,13.93
GASTROINTESTINAL TRACT IRRITATION,0.32,5.18
UTERINE PAIN,0.32,17.38
TOOTH LOSS,0.32,7.79
HYPOREFLEXIA,0.32,12.88
BLEPHAROSPASM,0.32,22.46
ANAEMIA VITAMIN B12 DEFICIENCY,0.32,13.39
EYELID PTOSIS,0.32,15.23
URTICARIA,0.32,30.89
INJECTION SITE INFECTION,0.32,5.83
EMOTIONAL POVERTY,0.32,4.99
PHANTOM PAIN,0.32,25.54
AGORAPHOBIA,0.32,9.38
FOLLICULITIS,0.32,9.61
OTITIS MEDIA ACUTE,0.32,9.21
SLEEP TERROR,0.32,22.77
DYSPEPSIA,0.32,11.38
STEATORRHOEA,0.32,11.23
ONYCHOCLASIS,0.32,5.46
PANIC DISORDER,0.32,9.87
GENITAL PRURITUS MALE,0.32,29.39
MADAROSIS,0.31,12.67
HIRSUTISM,0.31,15.10
LOCALISED OEDEMA,0.31,24.02
PSEUDOCYST,0.31,2.03
GINGIVITIS,0.31,7.58
LACRIMAL DISORDER,0.31,9.24
THERAPEUTIC RESPONSE DECREASED,0.31,0.18
BRONCHITIS,0.31,12.99
DYSGEUSIA,0.31,19.82
EPIGASTRIC DISCOMFORT,0.31,15.55
REGURGITATION,0.31,12.74
PARONYCHIA,0.31,11.81
RETINAL DEPIGMENTATION,0.31,19.07
CHOKING SENSATION,0.31,14.41
ACUTE ABDOMEN,0.31,18.83
VISUAL FIELD DEFECT,0.31,3.60
CONJUNCTIVITIS,0.31,6.01
POLYDIPSIA,0.31,6.62
SINGLE UMBILICAL ARTERY,0.31,5.63
RASH PAPULAR,0.31,17.88
ACNE FULMINANS,0.31,11.87
BLOOD CHOLESTEROL INCREASED,0.31,8.42
"HALLUCINATION, AUDITORY",0.31,17.02
POLYDACTYLY,0.31,4.88
TINEA PEDIS,0.31,11.79
VITAMIN D DEFICIENCY,0.31,4.91
DIURETIC EFFECT,0.31,7.76
FLANK PAIN,0.31,13.47
ADHESION,0.31,3.85
OLIGURIA,0.31,34.90
SENSORY DISTURBANCE,0.31,18.21
XANTHOPSIA,0.30,13.98
CORNEAL SCAR,0.30,15.84
PAINFUL ERECTION,0.30,20.32
BEDRIDDEN,0.30,6.79
SINUS DISORDER,0.30,9.41
SKIN BLEEDING,0.30,19.80
IRON DEFICIENCY ANAEMIA,0.30,18.82
RASH ERYTHEMATOUS,0.30,6.22
NASOPHARYNGITIS,0.30,15.26
ABNORMAL LABOUR,0.30,6.60
PHOTOPHOBIA,0.30,29.65
EYELIDS PRURITUS,0.30,12.32
TONGUE OEDEMA,0.30,30.72
PULSE ABNORMAL,0.30,18.15
DERMATITIS CONTACT,0.30,13.07
PSYCHOSEXUAL DISORDER,0.30,14.03
ERECTILE DYSFUNCTION,0.30,16.85
TOOTH HYPOPLASIA,0.30,0.39
DEHYDRATION,0.30,6.31
RED MAN SYNDROME,0.30,16.32
EXTENSOR PLANTAR RESPONSE,0.30,19.07
EAR INFECTION,0.30,1.21
CONJUNCTIVITIS INFECTIVE,0.30,10.51
POST PROCEDURAL PAIN,0.30,12.73
MUCOSAL INFLAMMATION,0.30,5.40
OLIGOMENORRHOEA,0.30,10.88
SENSATION OF FOREIGN BODY,0.30,4.25
TOOTH MALFORMATION,0.30,19.89
ENZYME INDUCTION,0.30,12.07
SKIN FRAGILITY,0.30,20.04
OBSESSIVE THOUGHTS,0.30,7.03
CHROMATURIA,0.30,30.38
PIGMENTATION DISORDER,0.30,5.83
INFUSION SITE REACTION,0.30,4.32
GROIN PAIN,0.30,4.40
SALIVARY GLAND PAIN,0.29,6.55
DEPRESSIVE SYMPTOM,0.29,7.85
TINNITUS,0.29,19.72
VITAMIN K DEFICIENCY,0.29,9.50
THERAPEUTIC RESPONSE INCREASED,0.29,10.42
ATTENTION DEFICIT/HYPERACTIVITY DISORDER,0.29,44.64
LOGORRHOEA,0.29,9.34
PERIPHERAL COLDNESS,0.29,4.60
TONSILLITIS,0.29,9.81
LACRIMATION DECREASED,0.29,12.43
JOINT RANGE OF MOTION DECREASED,0.29,18.20
LIVIDITY,0.29,7.97
INFLUENZA,0.29,17.96
HYPERVENTILATION,0.29,3.02
RASH MACULAR,0.29,12.48
